"V1","V2","V3","V4"
1,1,1,1.91122068036129
1,1,0,0.217027085866245
1,0,0,-0.347447834046549
1,0,1,-0.127085592932547
1,1,0,-1.09899010150885
1,1,1,-0.122814205575847
1,0,0,1.42116893733077
1,0,1,-0.611385352573382
1,1,1,0.738742982465399
1,0,0,1.24321216407384
1,1,0,-0.096840201974765
1,1,1,-0.507458444700537
1,1,1,-1.72791373962823
1,0,0,0.0194901520693426
1,1,0,-1.23258169707261
1,0,1,-0.434593042509234
1,1,0,-1.72539609204358
1,1,0,-0.943743179848888
1,0,1,0.776200354600329
1,0,1,-0.986252374160209
1,1,0,0.513734512394137
1,0,0,1.42012373326947
1,0,0,-0.393921462345514
1,0,1,1.01709545745223
1,0,1,-0.45889668217979
1,1,1,0.878026084932496
1,0,1,0.431158265475889
1,0,0,0.82096318972359
1,0,0,0.575202767382012
1,1,0,1.47576037324652
1,0,0,1.22831712771989
1,0,0,0.33689275618736
1,0,1,-0.387612932969232
1,0,0,0.427756778222754
1,0,1,1.23444121013214
1,1,1,-1.60350659991148
1,0,1,-0.365447446758411
1,0,0,-1.15200283573956
1,1,0,-0.422734606652649
1,0,0,0.0902649461322235
1,1,1,-1.75924799134528
1,0,0,0.248133532176117
1,0,1,1.13342688490783
1,1,1,-0.668885617349502
1,0,0,1.37307124193914
1,1,1,-1.31815574030636
1,1,0,-1.54438599443548
1,0,0,-0.0718367185385426
1,0,0,0.419616898810496
1,0,0,-0.727251113265221
1,1,0,-0.986131383325481
1,1,1,-0.462094984145186
1,0,0,-0.125385291141423
1,1,0,0.524015007261851
1,1,0,0.709859484692181
1,0,0,-0.173734846281185
1,0,1,0.149012983485367
1,1,0,-2.30177406408759
1,1,0,-0.277380700331231
1,1,0,-0.254878477628765
1,1,0,0.681599529179846
1,0,0,2.06336316993233
1,0,1,-1.47992991827665
1,0,1,1.53118199630077
1,1,1,1.70746833243248
1,1,1,1.88068744478963
1,0,0,0.699638466429983
1,1,1,-0.618590353974458
1,1,1,0.415164055990468
1,1,1,-0.221256566967484
1,1,1,1.27129292165894
1,0,0,-0.216652960189901
1,1,1,-0.355348562691527
1,1,0,-1.28122220552719
1,0,1,-0.521322339271706
1,0,1,0.891576905072756
1,0,1,0.751320975792281
1,0,1,0.36599987417974
1,1,0,-0.548110187807933
1,0,0,0.872953952580777
1,1,1,1.40784062395386
1,0,0,1.55657239924914
1,0,0,-0.390105512016593
1,0,0,-0.188237478343923
1,1,1,0.517029377144007
1,1,0,-0.836117990241548
1,1,1,-1.50168919000599
1,1,1,0.500987490907886
1,0,1,0.330974232125774
1,1,1,-0.0514684331549065
1,0,0,-0.979667302022569
1,0,1,1.8417972878488
1,0,0,1.06202733997439
1,0,0,-0.0287464899397924
1,0,0,-1.5521963506877
1,0,1,0.063417402104208
1,1,1,0.387306584827409
1,1,1,0.527507710443073
1,1,1,-0.648603265657922
1,1,1,0.479035570839507
